0 Air (minecraft:air)
86 Pumpkin_side (minecraft:pumpkin)
87 Netherrack (minecraft:netherrack)
88 Soul_Sand (minecraft:soul_sand)
89 Glowstone (minecraft:glowstone)
90 Portal (minecraft:portal)
91 pumpkin_face_on (minecraft:lit_pumpkin)
92 Cake_side (minecraft:cake)
93 Repeater_off (minecraft:unpowered_repeater)
94 Repeater_on (minecraft:powered_repeater)
95 glass_White (minecraft:stained_glass)
95:1 glass_Orange (minecraft:stained_glass)
95:2 glass_Magenta (minecraft:stained_glass)
95:3 glass_Light_Blue (minecraft:stained_glass)
95:4 glass_Yellow (minecraft:stained_glass)
95:5 glass_Lime (minecraft:stained_glass)
95:6 glass_Pink (minecraft:stained_glass)
95:7 glass_Gray (minecraft:stained_glass)
95:8 glass_silver (minecraft:stained_glass)
95:9 glass_Cyan (minecraft:stained_glass)
95:10 glass_Purple (minecraft:stained_glass)
95:11 glass_Blue (minecraft:stained_glass)
95:12 glass_Brown (minecraft:stained_glass)
95:13 glass_Green (minecraft:stained_glass)
95:14 glass_Red (minecraft:stained_glass)
95:15 glass_Black (minecraft:stained_glass)
96 Trapdoor (minecraft:trapdoor)
97 spawn_egg (minecraft:monster_egg)
97:1 spawn_egg (minecraft:monster_egg)
97:2 spawn_egg (minecraft:monster_egg)
97:3 spawn_egg (minecraft:monster_egg)
97:4 spawn_egg (minecraft:monster_egg)
97:5 spawn_egg (minecraft:monster_egg)
98 StoneBrick (minecraft:stonebrick)
98:1 StoneBrick_mossy (minecraft:stonebrick)
98:2 StoneBrick_cracked (minecraft:stonebrick)
98:3 StoneBrick_carved (minecraft:stonebrick)
99 Mushroom_Block_skin_brown (minecraft:brown_mushroom_block)
100 Mushroom_Block_skin_red (minecraft:red_mushroom_block)
101 Iron_Bars (minecraft:iron_bars)
102 Glass_Pane_top (minecraft:glass_pane)
103 Melon_side (minecraft:melon_block)
104 Pumpkin_Stem_disconnected (minecraft:pumpkin_stem)
105 Melon_Stem_disconnected (minecraft:melon_stem)
106 Vine (minecraft:vine)
107 Oak_Fence_Gate (minecraft:fence_gate)
108 Bricks (minecraft:brick_stairs)
109 StoneBrick (minecraft:stone_brick_stairs)
110 Mycelium_side (minecraft:mycelium)
111 waterlily (minecraft:waterlily)
112 Nether_Brick (minecraft:nether_brick)
113 Nether_Brick (minecraft:nether_brick_fence)
114 Nether_Brick (minecraft:nether_brick_stairs)
115 Nether_Wart (minecraft:nether_wart)
116 enchanting_table_side (minecraft:enchanting_table)
117 Brewing_Stand (minecraft:brewing_stand)
118 Cauldron_side (minecraft:cauldron)
119 Portal (minecraft:end_portal)
120 endframe_side (minecraft:end_portal_frame)
121 End_Stone (minecraft:end_stone)
122 Dragon_Egg (minecraft:dragon_egg)
123 Redstone_Lamp_off (minecraft:redstone_lamp)
124 Redstone_Lamp_on (minecraft:lit_redstone_lamp)
125 planks_oak (minecraft:double_wooden_slab)
125:1 planks_Spruce (minecraft:double_wooden_slab)
125:2 planks_Birch (minecraft:double_wooden_slab)
125:3 planks_Jungle (minecraft:double_wooden_slab)
125:4 planks_Acacia (minecraft:double_wooden_slab)
125:5 planks_big_Oak (minecraft:double_wooden_slab)
126 planks_Oak (minecraft:wooden_slab)
126:1 planks_Spruce (minecraft:wooden_slab)
126:2 planks_Birch (minecraft:wooden_slab)
126:3 planks_Jungle (minecraft:wooden_slab)
126:4 planks_Acacia (minecraft:wooden_slab)
126:5 planks_big_Oak (minecraft:wooden_slab)
127 Cocoa_stage_2 (minecraft:cocoa)
128 Sandstone_Stairs (minecraft:sandstone_stairs)
129 Emerald_Ore (minecraft:emerald_ore)
130 Ender_Chest (minecraft:ender_chest)
131 Trip_wire_source (minecraft:tripwire_hook)
132 Trip_wire (minecraft:tripwire_hook)
133 Emerald_Block (minecraft:emerald_block)
134 Spruce_Wood_Stairs (minecraft:spruce_stairs)
135 Birch_Wood_Stairs (minecraft:birch_stairs)
136 Jungle_Wood_Stairs (minecraft:jungle_stairs)
137 Command_Block (minecraft:command_block)
138 Beacon (minecraft:beacon)
139 Cobblestone_Wall (minecraft:cobblestone_wall)
139:1 Mossy_Cobblestone_Wall (minecraft:cobblestone_wall)
140 Flower_Pot (minecraft:flower_pot)
141 Carrots_stage_3 (minecraft:carrots)
142 Potatoes_stage_3 (minecraft:potatoes)
143 Wooden_Button (minecraft:wooden_button)
144 Mob_Head (minecraft:skull)
145 Anvil_base (minecraft:anvil)
146 Chest (minecraft:trapped_chest)
147 Weighted_Pressure_Plate_light (minecraft:light_weighted_pressure_plate)
148 Weighted_Pressure_Plate_heavy (minecraft:heavy_weighted_pressure_plate)
149 Redstone_Comparator_off (minecraft:unpowered_comparator)
150 Redstone_Comparator_on (minecraft:powered_comparator)
151 Daylight_detector_top (minecraft:daylight_detector)
152 Redstone_Block (minecraft:redstone_block)
153 Quartz_Ore (minecraft:quartz_ore)
154 Hopper (minecraft:hopper)
155 Quartz_Block_side (minecraft:quartz_block)
155:1 Quartz_Block_chiseled (minecraft:quartz_block)
155:2 Quartz_Block_lines (minecraft:quartz_block)
156 Quartz_Stairs (minecraft:quartz_stairs)
157 Rail_activator (minecraft:activator_rail)
158 Dropper_front_horizontal (minecraft:dropper)
159 hardened_clay_stained_White (minecraft:stained_hardened_clay)
159:1 hardened_clay_stained_Orange (minecraft:stained_hardened_clay)
159:2 hardened_clay_stained_Magenta (minecraft:stained_hardened_clay)
159:3 hardened_clay_stained_Light_Blue (minecraft:stained_hardened_clay)
159:4 hardened_clay_stained_Yellow (minecraft:stained_hardened_clay)
159:5 hardened_clay_stained_Lime (minecraft:stained_hardened_clay)
159:6 hardened_clay_stained_Pink (minecraft:stained_hardened_clay)
159:7 hardened_clay_stained_Gray (minecraft:stained_hardened_clay)
159:8 hardened_clay_stained_silver (minecraft:stained_hardened_clay)
159:9 hardened_clay_stained_Cyan (minecraft:stained_hardened_clay)
159:10 hardened_clay_stained_Purple (minecraft:stained_hardened_clay)
159:11 hardened_clay_stained_Blue (minecraft:stained_hardened_clay)
159:12 hardened_clay_stained_Brown (minecraft:stained_hardened_clay)
159:13 hardened_clay_stained_Green (minecraft:stained_hardened_clay)
159:14 hardened_clay_stained_Red (minecraft:stained_hardened_clay)
159:15 hardened_clay_stained_Black (minecraft:stained_hardened_clay)
160 glass_pane_top_White (minecraft:stained_glass_pane)
160:1 glass_pane_top_Orange (minecraft:stained_glass_pane)
160:2 glass_pane_top_Magenta (minecraft:stained_glass_pane)
160:3 glass_pane_top_Light_Blue (minecraft:stained_glass_pane)
160:4 glass_pane_top_Yellow (minecraft:stained_glass_pane)
160:5 glass_pane_top_Lime (minecraft:stained_glass_pane)
160:6 glass_pane_top_Pink (minecraft:stained_glass_pane)
160:7 glass_pane_top_Gray (minecraft:stained_glass_pane)
160:8 glass_pane_top_silver (minecraft:stained_glass_pane)
160:9 glass_pane_top_Cyan (minecraft:stained_glass_pane)
160:10 glass_pane_top_Purple (minecraft:stained_glass_pane)
160:11 glass_pane_top_Blue (minecraft:stained_glass_pane)
160:12 glass_pane_top_Brown (minecraft:stained_glass_pane)
160:13 glass_pane_top_Green (minecraft:stained_glass_pane)
160:14 glass_pane_top_Red (minecraft:stained_glass_pane)
160:15 glass_pane_top_Black (minecraft:stained_glass_pane)
161 leaves_Acacia (minecraft:leaves2)
161:1 leaves_big_Oak (minecraft:leaves2)
162 log_acacia (minecraft:log2)
162:1 log_big_oak (minecraft:log2)
163 Acacia_Wood_Stairs (minecraft:acacia_stairs)
164 Dark_Oak_Wood_Stairs (minecraft:dark_oak_stairs)
165 Slime (minecraft:slime)
166 Barrier (minecraft:barrier)
167 Iron_Trapdoor (minecraft:iron_trapdoor)
168 Prismarine_rough (minecraft:prismarine)
168:1 Prismarine_Bricks (minecraft:prismarine)
168:2 Prismarine_dark (minecraft:prismarine)
169 Sea_Lantern (minecraft:sea_lantern)
170 Hay_Block_side (minecraft:hay_block)
171 White_Carpet (minecraft:carpet)
171:1 Orange_Carpet (minecraft:carpet)
171:2 Magenta_Carpet (minecraft:carpet)
171:3 Light_Blue_Carpet (minecraft:carpet)
171:4 Yellow_Carpet (minecraft:carpet)
171:5 Lime_Carpet (minecraft:carpet)
171:6 Pink_Carpet (minecraft:carpet)
171:7 Gray_Carpet (minecraft:carpet)
171:8 Light_Gray_Carpet (minecraft:carpet)
171:9 Cyan_Carpet (minecraft:carpet)
171:10 Purple_Carpet (minecraft:carpet)
171:11 Blue_Carpet (minecraft:carpet)
171:12 Brown_Carpet (minecraft:carpet)
171:13 Green_Carpet (minecraft:carpet)
171:14 Red_Carpet (minecraft:carpet)
171:15 Black_Carpet (minecraft:carpet)
172 Hardened_Clay (minecraft:hardened_clay)
173 coal_block (minecraft:coal_block)
174 ice_packed (minecraft:packed_ice)
175 double_plant_sunflower_front (minecraft:double_plant)
175:1 double_plant_syringa_top (minecraft:double_plant)
175:2 double_plant_grass_top (minecraft:double_plant)
175:3 double_plant_fern_top (minecraft:double_plant)
175:4 double_plant_Rose_top (minecraft:double_plant)
175:5 double_plant_paeonia_top (minecraft:double_plant)
176 banner_overlay (minecraft:standing_banner)
177 banner_overlay (minecraft:wall_banner)
178 daylight_detector_inverted_top (minecraft:daylight_detector_inverted)
179 Red_Sandstone_normal (minecraft:red_sandstone)
179:1 Red_Sandstone_carved (minecraft:red_sandstone)
179:2 Red_Sandstone_smooth (minecraft:red_sandstone)
180 Red_Sandstone_Stairs (minecraft:red_sandstone_stairs)
181 Red_Sandstone_normal (minecraft:double_stone_slab2)
182 Red_Sandstone_Slab (minecraft:stone_slab2)
183 Spruce_Fence_Gate (minecraft:spruce_fence_gate)
184 Birch_Fence_Gate (minecraft:birch_fence_gate)
185 Jungle_Fence_Gate (minecraft:jungle_fence_gate)
186 Dark_Oak_Fence_Gate (minecraft:dark_oak_fence_gate)
187 Acacia_Fence_Gate (minecraft:acacia_fence_gate)
188 Spruce_Fence (minecraft:spruce_fence)
189 Birch_Fence (minecraft:birch_fence)
190 Jungle_Fence (minecraft:jungle_fence)
191 Dark_Oak_Fence (minecraft:dark_oak_fence)
192 Acacia_Fence (minecraft:acacia_fence)
193 Spruce_Door_Block (minecraft:spruce_door)
194 Birch_Door_Block (minecraft:birch_door)
195 Jungle_Door_Block (minecraft:jungle_door)
196 Acacia_Door_Block (minecraft:acacia_door)
197 Dark_Oak_Door_Block (minecraft:dark_oak_door)
198 End_Rod (minecraft:end_rod)
199 Chorus_Plant (minecraft:chorus_plant)
200 flower_Chorus_Flower (minecraft:chorus_flower)
201 Purpur_Block (minecraft:purpur_block)
202 Purpur_Pillar (minecraft:purpur_pillar)
203 Purpur_Stairs (minecraft:purpur_stairs)
204 Purpur_Double_Slab (minecraft:purpur_double_slab)
205 Purpur_Slab (minecraft:purpur_slab)
206 End_Stone_Bricks (minecraft:end_bricks)
207 Beetroot_Block (minecraft:beetroots)
208 Grass_Path (minecraft:grass_path)
209 End_Gateway (minecraft:end_gateway)
210 Repeating_Command_Block (minecraft:repeating_command_block)
211 Chain_Command_Block (minecraft:chain_command_block)
212 Frosted_Ice (minecraft:frosted_ice)
213 Magma_Block (minecraft:magma)
214 Nether_Wart_Block (minecraft:nether_wart_block)
215 Red_Nether_Brick (minecraft:red_nether_brick)
216 Bone_Block (minecraft:bone_block)
217 Structure_Void (minecraft:structure_void)
218 Observer (minecraft:observer)
219 White_Shulker_Box (minecraft:white_shulker_box)
220 Orange_Shulker_Box (minecraft:orange_shulker_box)
221 Magenta_Shulker_Box (minecraft:magenta_shulker_box)
222 Light_Blue_Shulker_Box (minecraft:light_blue_shulker_box)
223 Yellow_Shulker_Box (minecraft:yellow_shulker_box)
224 Lime_Shulker_Box (minecraft:lime_shulker_box)
225 Pink_Shulker_Box (minecraft:pink_shulker_box)
226 Gray_Shulker_Box (minecraft:gray_shulker_box)
227 Light_Gray_Shulker_Box (minecraft:silver_shulker_box)
228 Cyan_Shulker_Box (minecraft:cyan_shulker_box)
229 Purple_Shulker_Box (minecraft:purple_shulker_box)
230 Blue_Shulker_Box (minecraft:blue_shulker_box)
231 Brown_Shulker_Box (minecraft:brown_shulker_box)
232 Green_Shulker_Box (minecraft:green_shulker_box)
233 Red_Shulker_Box (minecraft:red_shulker_box)
234 Black_Shulker_Box (minecraft:black_shulker_box)
235 White_Glazed_Terracotta (minecraft:white_glazed_terracotta)
236 Orange_Glazed_Terracotta (minecraft:orange_glazed_terracotta)
237 Magenta_Glazed_Terracotta (minecraft:magenta_glazed_terracotta)
238 Light_Blue_Glazed_Terracotta (minecraft:light_blue_glazed_terracotta)
239 Yellow_Glazed_Terracotta (minecraft:yellow_glazed_terracotta)
240 Lime_Glazed_Terracotta (minecraft:lime_glazed_terracotta)
241 Pink_Glazed_Terracotta (minecraft:pink_glazed_terracotta)
242 Gray_Glazed_Terracotta (minecraft:gray_glazed_terracotta)
243 Light_Gray_Glazed_Terracotta (minecraft:light_gray_glazed_terracotta)
244 Cyan_Glazed_Terracotta (minecraft:cyan_glazed_terracotta)
245 Purple_Glazed_Terracotta (minecraft:purple_glazed_terracotta)
246 Blue_Glazed_Terracotta (minecraft:blue_glazed_terracotta)
247 Brown_Glazed_Terracotta (minecraft:brown_glazed_terracotta)
248 Green_Glazed_Terracotta (minecraft:green_glazed_terracotta)
249 Red_Glazed_Terracotta (minecraft:red_glazed_terracotta)
250 Black_Glazed_Terracotta (minecraft:black_glazed_terracotta)
251 White_Concrete (minecraft:concrete)
251:1 Orange_Concrete (minecraft:concrete)
251:2 Magenta_Concrete (minecraft:concrete)
251:3 Light_Blue_Concrete (minecraft:concrete)
251:4 Yellow_Concrete (minecraft:concrete)
251:5 Lime_Concrete (minecraft:concrete)
251:6 Pink_Concrete (minecraft:concrete)
251:7 Gray_Concrete (minecraft:concrete)
251:8 Light_Gray_Concrete (minecraft:concrete)
251:9 Cyan_Concrete (minecraft:concrete)
251:10 Purple_Concrete (minecraft:concrete)
251:11 Blue_Concrete (minecraft:concrete)
251:12 Brown_Concrete (minecraft:concrete)
251:13 Green_Concrete (minecraft:concrete)
251:14 Red_Concrete (minecraft:concrete)
251:15 Black_Concrete (minecraft:concrete)
252 White_Concrete_Powder (minecraft:concrete_powder)
252:1 Orange_Concrete_Powder (minecraft:concrete_powder)
252:2 Magenta_Concrete_Powder (minecraft:concrete_powder)
252:3 Light_Blue_Concrete_Powder (minecraft:concrete_powder)
252:4 Yellow_Concrete_Powder (minecraft:concrete_powder)
252:5 Lime_Concrete_Powder (minecraft:concrete_powder)
252:6 Pink_Concrete_Powder (minecraft:concrete_powder)
252:7 Gray_Concrete_Powder (minecraft:concrete_powder)
252:8 Light_Gray_Concrete_Powder (minecraft:concrete_powder)
252:9 Cyan_Concrete_Powder (minecraft:concrete_powder)
252:10 Purple_Concrete_Powder (minecraft:concrete_powder)
252:11 Blue_Concrete_Powder (minecraft:concrete_powder)
252:12 Brown_Concrete_Powder (minecraft:concrete_powder)
252:13 Green_Concrete_Powder (minecraft:concrete_powder)
252:14 Red_Concrete_Powder (minecraft:concrete_powder)
252:15 Black_Concrete_Powder (minecraft:concrete_powder)
255 Structure_Block (minecraft:structure_block)
256 Iron_Shovel (minecraft:iron_shovel)
257 Iron_Pickaxe (minecraft:iron_pickaxe)
258 Iron_Axe (minecraft:iron_axe)
259 Flint_and_Steel (minecraft:flint_and_steel)
260 Apple (minecraft:apple)
261 Bow (minecraft:bow)
262 Arrow (minecraft:arrow)
263 Coal (minecraft:coal)
263:1 Charcoal (minecraft:coal)
264 Diamond (minecraft:diamond)
265 Iron_Ingot (minecraft:iron_ingot)
266 Gold_Ingot (minecraft:gold_ingot)
267 Iron_Sword (minecraft:iron_sword)
268 Wooden_Sword (minecraft:wooden_sword)
269 Wooden_Shovel (minecraft:wooden_shovel)
270 Wooden_Pickaxe (minecraft:wooden_pickaxe)
271 Wooden_Axe (minecraft:wooden_axe)
272 Stone_Sword (minecraft:stone_sword)
273 Stone_Shovel (minecraft:stone_shovel)
274 Stone_Pickaxe (minecraft:stone_pickaxe)
275 Stone_Axe (minecraft:stone_axe)
276 Diamond_Sword (minecraft:diamond_sword)
277 Diamond_Shovel (minecraft:diamond_shovel)
278 Diamond_Pickaxe (minecraft:diamond_pickaxe)
279 Diamond_Axe (minecraft:diamond_axe)
280 Stick (minecraft:stick)
281 Bowl (minecraft:bowl)
282 Mushroom_Stew (minecraft:mushroom_stew)
283 Golden_Sword (minecraft:golden_sword)
284 Golden_Shovel (minecraft:golden_shovel)
285 Golden_Pickaxe (minecraft:golden_pickaxe)
286 Golden_Axe (minecraft:golden_axe)
287 String (minecraft:string)
288 Feather (minecraft:feather)
289 Gunpowder (minecraft:gunpowder)
290 Wooden_Hoe (minecraft:wooden_hoe)
291 Stone_Hoe (minecraft:stone_hoe)
292 Iron_Hoe (minecraft:iron_hoe)
293 Diamond_Hoe (minecraft:diamond_hoe)
294 Golden_Hoe (minecraft:golden_hoe)
295 Wheat_Seeds (minecraft:wheat_seeds)
296 Wheat (minecraft:wheat)
297 Bread (minecraft:bread)
298 Leather_Helmet (minecraft:leather_helmet)
299 Leather_Tunic (minecraft:leather_chestplate)
300 Leather_Pants (minecraft:leather_leggings)
301 Leather_Boots (minecraft:leather_boots)
302 Chainmail_Helmet (minecraft:chainmail_helmet)
303 Chainmail_Chestplate (minecraft:chainmail_chestplate)
304 Chainmail_Leggings (minecraft:chainmail_leggings)
305 Chainmail_Boots (minecraft:chainmail_boots)
306 Iron_Helmet (minecraft:iron_helmet)
307 Iron_Chestplate (minecraft:iron_chestplate)
308 Iron_Leggings (minecraft:iron_leggings)
309 Iron_Boots (minecraft:iron_boots)
310 Diamond_Helmet (minecraft:diamond_helmet)
311 Diamond_Chestplate (minecraft:diamond_chestplate)
312 Diamond_Leggings (minecraft:diamond_leggings)
313 Diamond_Boots (minecraft:diamond_boots)
314 Golden_Helmet (minecraft:golden_helmet)
315 Golden_Chestplate (minecraft:golden_chestplate)
316 Golden_Leggings (minecraft:golden_leggings)
317 Golden_Boots (minecraft:golden_boots)
318 Flint (minecraft:flint)
319 Raw_Porkchop (minecraft:porkchop)
320 Cooked_Porkchop (minecraft:cooked_porkchop)
321 Painting (minecraft:painting)
322 Golden_Apple (minecraft:golden_apple)
322:1 Enchanted_Golden_Apple (minecraft:golden_apple)
323 Sign (minecraft:sign)
324 Oak_Door (minecraft:wooden_door)
325 Bucket (minecraft:bucket)
326 Water_Bucket (minecraft:water_bucket)
327 Lava_Bucket (minecraft:lava_bucket)
328 Minecart (minecraft:minecart)
329 Saddle (minecraft:saddle)
330 Iron_Door (minecraft:iron_door)
331 Redstone (minecraft:redstone)
332 Snowball (minecraft:snowball)
333 Oak_Boat (minecraft:boat)
334 Leather (minecraft:leather)
335 Milk_Bucket (minecraft:milk_bucket)
336 Brick (minecraft:brick)
337 Clay (minecraft:clay_ball)
338 Sugar_Canes (minecraft:reeds)
339 Paper (minecraft:paper)
340 Book (minecraft:book)
341 Slimeball (minecraft:slime_ball)
342 Minecart_with_Chest (minecraft:chest_minecart)
343 Minecart_with_Furnace (minecraft:furnace_minecart)
344 Egg (minecraft:egg)
345 Compass (minecraft:compass)
346 Fishing_Rod (minecraft:fishing_rod)
347 Clock (minecraft:clock)
348 Glowstone_Dust (minecraft:glowstone_dust)
349 Raw_Fish (minecraft:fish)
349:1 Raw_Salmon (minecraft:fish)
349:2 Clownfish (minecraft:fish)
349:3 Pufferfish (minecraft:fish)
350 Cooked_Fish (minecraft:cooked_fish)
350:1 Cooked_Salmon (minecraft:cooked_fish)
351 Ink_Sack (minecraft:dye)
351:1 Rose_Red (minecraft:dye)
351:2 Cactus_Green (minecraft:dye)
351:3 Coco_Beans (minecraft:dye)
351:4 Lapis_Lazuli (minecraft:dye)
351:5 Purple_Dye (minecraft:dye)
351:6 Cyan_Dye (minecraft:dye)
351:7 Light_Gray_Dye (minecraft:dye)
351:8 Gray_Dye (minecraft:dye)
351:9 Pink_Dye (minecraft:dye)
351:10 Lime_Dye (minecraft:dye)
351:11 Dandelion_Yellow (minecraft:dye)
351:12 Light_Blue_Dye (minecraft:dye)
351:13 Magenta_Dye (minecraft:dye)
351:14 Orange_Dye (minecraft:dye)
351:15 Bone_Meal (minecraft:dye)
352 Bone (minecraft:bone)
353 Sugar (minecraft:sugar)
354 Cake (minecraft:cake)
355 Bed (minecraft:bed)
356 Redstone_Repeater (minecraft:repeater)
357 Cookie (minecraft:cookie)
358 Map (minecraft:filled_map)
359 Shears (minecraft:shears)
360 Melon (minecraft:melon)
361 Pumpkin_Seeds (minecraft:pumpkin_seeds)
362 Melon_Seeds (minecraft:melon_seeds)
363 Raw_Beef (minecraft:beef)
364 Steak (minecraft:cooked_beef)
365 Raw_Chicken (minecraft:chicken)
366 Cooked_Chicken (minecraft:cooked_chicken)
367 Rotten_Flesh (minecraft:rotten_flesh)
368 Ender_Pearl (minecraft:ender_pearl)
369 Blaze_Rod (minecraft:blaze_rod)
370 Ghast_Tear (minecraft:ghast_tear)
371 Gold_Nugget (minecraft:gold_nugget)
372 Nether_Wart (minecraft:nether_wart)
373 Potion (minecraft:potion)
374 Glass_Bottle (minecraft:glass_bottle)
